Company,Cpu,Ram,Weight,Price
Asus,Intel Core i7 7500U 2.7GHz,8,1.10,4989.672
Toshiba,Intel Core i7 6500U 2.5GHz,16,1.2,4654.008
Dell,Intel Core i7 7600U 2.8GHz,8,1.36,4475.52
Lenovo,Intel Core i3 6006U 2GHz,4,2.2,1089.576
Lenovo,Intel Celeron Dual Core N3350 1.1GHz,2,1.15,811.0548
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,2.67,5128.2
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,1.7,5176.152
HP,Intel Core i3 6006U 2GHz,4,2.1,1249.416
Acer,Intel Core i7 6500U 2.5GHz,8,1.6,2101.923
Asus,Intel Core i5 7200U 2.5GHz,8,1.27,2472.192
Dell,Intel Core i5 7200U 2.5GHz,4,2.3,1595.47
Dell,Intel Core i3 6006U 2GHz,4,1.65,1835.496
HP,Intel Core i7 6500U 2.5GHz,8,1.43,3996.0
Dell,Intel Core i5 7200U 2.5GHz,8,2.14,1438.427
Lenovo,Intel Core i7 8550U 1.8GHz,8,1.75,3237.772
Lenovo,Intel Core i7 7700HQ 2.8GHz,16,2,5058.936
Chuwi,Intel Celeron Quad Core N3450 1.1GHz,6,1.4,1196.136
HP,Intel Core i7 7820HQ 2.9GHz,8,2.31,3801.528
Asus,Intel Core i3 7100U 2.4GHz,8,2.3,1590.408
Dell,Intel Core i7 7820HK 2.9GHz,16,4.42,7456.536
Dell,Intel Core i7 7700HQ 2.8GHz,8,2.62,3087.576
Dell,Intel Core i7 8550U 1.8GHz,8,2.02,3043.354
Dell,Intel Core i7 7600U 2.8GHz,8,1.6,2927.736
HP,Intel Core i7 7700HQ 2.8GHz,12,3.35,5325.336
Mediacom,Intel Celeron Dual Core N3350 1.1GHz,4,1.16,796.536
Samsung,Intel Celeron Dual Core N3060 1.6GHz,4,1.15,716.616
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.4,2690.64
Lenovo,Intel Core i3 7130U 2.7GHz,4,1.7,1595.736
Lenovo,Intel Core i7 7600U 2.8GHz,16,2.3,6513.48
Lenovo,Intel Core i7 7820HQ 2.9GHz,16,2.5,6524.136
Asus,AMD Ryzen 1600 3.2GHz,8,3.2,4515.48
HP,Intel Celeron Dual Core N3060 1.6GHz,4,2.1,924.408
Google,Intel Core i7 7Y75 1.3GHz,16,1.1,5858.136
Lenovo,Intel Core i7 7500U 2.7GHz,24,1.32,6345.648
Asus,Intel Core i5 7200U 2.5GHz,4,2,1489.176
Lenovo,AMD A6-Series 9220 2.5GHz,8,2.8,1382.616
Dell,Intel Core i5 8250U 1.6GHz,4,2.2,1995.336
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.36,3806.856
Lenovo,Intel Pentium Quad Core N4200 1.1GHz,4,2.2,929.736
HP,Intel Core i7 7700HQ 2.8GHz,8,2.2,2927.736
Dell,Intel Core i5 7440HQ 2.8GHz,8,1.64,3140.856
Acer,Intel Core i5 7200U 2.5GHz,4,2.4,1176.955
Dell,Intel Xeon E3-1505M V6 3GHz,8,2.23,5309.352
MSI,Intel Core i5 7300HQ 2.5GHz,8,2.2,2737.899
Microsoft,Intel Core i7 7660U 2.5GHz,16,1.25,6897.096
HP,Intel Core i5 7200U 2.5GHz,8,1.91,1569.096
Dell,Intel Core i7 6820HQ 2.7GHz,16,2.17,5261.4
HP,Intel Core i7 7820HQ 2.9GHz,8,2.31,4086.576
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.65,3583.08
Dell,Intel Core i7 8550U 1.8GHz,8,2.36,2608.056
Dell,Intel Pentium Quad Core N3710 1.6GHz,4,1.47,1276.056
Dell,Intel Core i7 7700HQ 2.7GHz,8,4.42,5450.544
Microsoft,Intel Core M m3-7Y30 2.2GHz,4,1.25,2634.696
Microsoft,Intel Core i7 7660U 2.5GHz,8,1.25,4792.536
HP,Intel Core i3 6006U 2GHz,8,2.5,1704.694
Acer,Intel Core i3 6006U 2GHz,4,2.23,1449.216
Acer,Intel Celeron Dual Core N3060 1.6GHz,4,1.4,1158.84
Asus,Intel Core i5 7200U 2.5GHz,8,2.37,1995.336
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.5,2128.536
Lenovo,Intel Core i7 7820HQ 2.9GHz,8,2.67,5567.76
Asus,Intel Pentium Quad Core N4200 1.1GHz,4,2,809.856
Acer,Intel Core i3 6006U 2GHz,4,2.2,1249.416
Dell,Intel Core i5 8250U 1.6GHz,8,2.02,2021.976
HP,Intel Core i7 7700HQ 2.8GHz,12,3.78,4526.136
Lenovo,Intel Core i7 6600U 2.6GHz,12,1.4,4949.712
HP,Intel Core i7 8550U 1.8GHz,8,1.29,5325.336
HP,Intel Core i5 7200U 2.5GHz,8,1.9,3074.256
Google,Intel Core i5 7Y57 1.2GHz,8,1.1,3396.6
Dell,Intel Core i5 8250U 1.6GHz,8,1.42,4906.688
Asus,Intel Core i7 6700HQ 2.6GHz,12,2.06,3460.536
Dell,Intel Core i3 6100U 2.3GHz,8,1.79,1971.36
Dell,Intel Core i7 7700HQ 2.8GHz,8,1.78,6414.912
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.7,3633.696
Dell,Intel Core i5 8250U 1.6GHz,8,2.2,1798.2
Toshiba,Intel Core i5 7200U 2.5GHz,8,1.05,4454.208
Dell,Intel Core i7 8550U 1.8GHz,8,2.16,3361.968
Dell,Intel Core i3 7100U 2.4GHz,4,2.18,1562.702
HP,Intel Core i5 8250U 1.6GHz,4,1.49,1934.064
Chuwi,Intel Atom x5-Z8350 1.44GHz,4,1.89,663.0696
Lenovo,Intel Core i3 6006U 2.0GHz,4,2.3,1505.16
Lenovo,Intel Core i5 8250U 1.6GHz,8,1.75,2794.536
Dell,Intel Core i7 6820HQ 2.7GHz,16,2.17,6228.432
Dell,Intel Core i7 7700HQ 2.8GHz,16,2.06,5058.936
Lenovo,Intel Core i7 7500U 2.7GHz,16,1.36,4789.872
Asus,Intel Core i7 7500U 2.7GHz,16,0.91,5194.8
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.3,2695.941
Toshiba,Intel Core i7 7500U 2.7GHz,32,1.05,7456.536
Asus,Intel Core i7 7700HQ 2.8GHz,8,1.99,3596.4
Acer,AMD A10-Series 9620P 2.5GHz,8,2.2,1542.456
Asus,Intel Core i7 6700HQ 2.6GHz,24,4.33,3380.616
Lenovo,Intel Core i5 6200U 2.3GHz,8,1.3,2927.736
Lenovo,Intel Core i7 8550U 1.8GHz,8,2.17,2394.67
HP,Intel Core i7 7600U 2.8GHz,8,1.48,4659.336
Lenovo,Intel Core i3 7100U 2.4GHz,8,1.4,2528.136
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.3,2426.904
Asus,Intel Celeron Dual Core N3350 1.1GHz,4,1.2,905.76
HP,Intel Core i5 7200U 2.5GHz,8,1.91,1648.989
Lenovo,Intel Core i5 8250U 1.6GHz,8,1.4,4259.736
Lenovo,Intel Celeron Dual Core N3350 1.1GHz,4,2.1,796.536
Lenovo,Intel Celeron Dual Core N3060 1.6GHz,4,1.25,705.96
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.44,2528.136
Asus,Intel Core i7 7500U 2.7GHz,8,2,3260.736
Acer,Intel Core i5 8250U 1.6GHz,4,2.2,1633.032
HP,Intel Core i7 7500U 2.7GHz,8,1.34,3524.472
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,2.4,3060.936
Dell,Intel Core i5 7200U 2.5GHz,8,1.29,2394.936
Acer,Intel Core i7 7500U 2.7GHz,4,2.2,1702.296
Dell,Intel Core i5 7200U 2.5GHz,8,2.18,2227.104
Dell,Intel Core i7 8550U 1.8GHz,16,2.2,3248.055
Xiaomi,Intel Core i7 8550U 1.8GHz,16,1.95,3729.467
Asus,Intel Celeron Dual Core N3350 1.1GHz,2,1.1,652.68
HP,Intel Core i5 8250U 1.6GHz,4,2.04,1389.196
Asus,Intel Core i7 7700HQ 2.8GHz,24,2.24,7906.752
HP,Intel Core i5 7200U 2.5GHz,8,2.04,2368.296
Asus,Intel Core i7 7700HQ 2.8GHz,16,3,4006.656
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,3.2,3726.936
HP,Intel Core i7 7500U 2.7GHz,8,1.32,3726.936
Dell,Intel Core i5 7300U 2.6GHz,8,1.64,3409.201
HP,Intel Core i3 6006U 2GHz,4,1.63,1835.496
Dell,Intel Core i5 8250U 1.6GHz,8,2.8,2368.296
Lenovo,Intel Core i5 6200U 2.3GHz,8,2.02,3569.76
Lenovo,Intel Core i7 7500U 2.7GHz,4,2.2,2128.536
Lenovo,Intel Core i3 6006U 2GHz,8,2.2,1222.776
Dell,Intel Core i5 7200U 2.5GHz,4,2.3,1558.44
Dell,Intel Core i5 7440HQ 2.8GHz,8,1.9,3668.328
Dell,Intel Core i7 7700HQ 2.8GHz,16,4.42,8026.019
Toshiba,Intel Core i5 7200U 2.5GHz,8,2.0,2291.04
Asus,Intel Core i7 7500U 2.7GHz,8,2,3460.536
Mediacom,Intel Celeron Quad Core N3450 1.1GHz,4,1.2,983.016
Asus,Intel Core i5 7300HQ 2.5GHz,8,2.3,4392.936
Dell,Intel Core i7 7600U 2.8GHz,8,1.93,3647.016
Dell,Intel Core i5 8250U 1.6GHz,8,2.2,2124.3
HP,Intel Pentium Quad Core N3710 1.6GHz,4,1.86,1062.909
HP,Intel Core i7 7700HQ 2.8GHz,12,2.62,4792.536
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.87,2288.376
Dell,Intel Core i7 8550U 1.8GHz,8,1.2,3726.936
Dell,Intel Core i3 6006U 2GHz,4,1.6,1960.358
HP,Intel Core i7 7500U 2.7GHz,8,1.34,3050.28
Acer,Intel Core i5 7300HQ 2.5GHz,8,2.4,2125.872
Asus,AMD E-Series 7110 1.8GHz,4,2,929.736
HP,Intel Core i3 7100U 2.4GHz,4,2.1,1879.452
Lenovo,Intel Core i5 7200U 2.5GHz,4,1.87,2091.24
Lenovo,Intel Core i5 6200U 2.3GHz,4,2.15,1231.7
HP,Intel Core i3 6006U 2GHz,4,1.86,1057.608
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.99,4606.056
Lenovo,Intel Core i3 6006U 2GHz,4,2.2,1329.336
Dell,Intel Core i5 7200U 2.5GHz,8,1.9,2975.661
Dell,Intel Core i7 7700HQ 2.8GHz,16,4.42,7190.136
HP,Intel Core i3 6006U 2GHz,8,2.65,1449.616
HP,Intel Core i7 7500U 2.7GHz,8,2.63,3409.92
Asus,Intel Celeron Dual Core N3350 1.1GHz,4,2,596.736
Mediacom,Intel Atom x5-Z8350 1.44GHz,4,1.35,679.32
Lenovo,Intel Core i7 7500U 2.7GHz,6,2.8,2528.136
HP,AMD A10-Series A10-9620P 2.5GHz,6,1.91,1515.55
Dell,Intel Core i3 6006U 2GHz,4,2.18,1646.086
Acer,Intel Celeron Dual Core N3350 2.0GHz,4,1.25,929.736
Lenovo,Intel Core i3 7130U 2.7GHz,4,2.05,1678.32
HP,Intel Core M 6Y75 1.2GHz,16,1.16,5234.76
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,3.4,7989.336
Asus,Intel Core i5 7300HQ 2.5GHz,8,2.5,2235.096
Dell,Intel Core i5 8250U 1.6GHz,8,1.21,4259.736
Dell,Intel Core i5 7300U 2.6GHz,4,1.93,2554.776
Fujitsu,Intel Core i5 7200U 2.5GHz,8,2.2,1968.696
Lenovo,Intel Pentium Quad Core N4200 1.1GHz,4,2.2,916.416
Lenovo,Intel Core i5 7200U 2.5GHz,4,2.02,2637.36
HP,Intel Core i5 7440HQ 2.8GHz,8,3.14,4957.677
HP,Intel Pentium Quad Core N3710 1.6GHz,8,1.94,1036.296
HP,AMD A9-Series A9-9420 3GHz,6,1.95,1728.936
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.3,2211.12
Lenovo,Intel Core i5 8250U 1.6GHz,4,2.05,1824.84
Mediacom,Intel Atom x5-Z8350 1.44GHz,4,1.4,663.336
Toshiba,Intel Core i7 7500U 2.7GHz,16,1.24,4968.36
Lenovo,Intel Core i7 6820HK 2.7GHz,32,4.6,7094.232
MSI,Intel Core i7 7820HK 2.9GHz,16,4.14,7270.056
Dell,Intel Core i7 7500U 2.7GHz,8,2.2,1995.363
Mediacom,Intel Celeron Quad Core N3450 1.1GHz,4,1.45,1036.296
Dell,Intel Core i5 7300U 2.6GHz,8,1.9,2686.697
HP,Intel Core i3 7100U 2.4GHz,4,1.49,1915.416
Dell,Intel Core i7 7600U 2.8GHz,16,1.93,4095.607
Dell,Intel Celeron Dual Core N3060 1.6GHz,4,1.26,785.88
MSI,Intel Core i7 6820HK 2.7GHz,16,4.5,6257.736
HP,Intel Core i7 7700HQ 2.8GHz,16,3.78,3990.672
Lenovo,Intel Core i7 6600U 2.6GHz,12,1.4,4456.872
Lenovo,Intel Core i7 8550U 1.8GHz,12,2.2,1622.376
Asus,Intel Core i5 7300HQ 2.5GHz,8,2.73,4715.28
Asus,Intel Core i5 7200U 2.5GHz,8,2.2,1968.696
Lenovo,AMD A12-Series 9720P 3.6GHz,12,2.2,2528.136
Dell,Intel Core M 7Y30 1.0GHz,4,1.39,1606.392
Samsung,Intel Core i7 7700HQ 2.8GHz,16,2.5,4526.136
Lenovo,Intel Core i3 6006U 2GHz,4,2.8,1409.256
Lenovo,Intel Core i3 6100U 2.3GHz,8,2.29,1222.776
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.37,5394.6
Lenovo,Intel Core i5 7300HQ 2.5GHz,8,1.7,3926.736
Dell,Intel Core i5 7200U 2.5GHz,8,1.34,4448.88
Dell,Intel Core i7 7700HQ 2.8GHz,8,2.06,4696.632
HP,Intel Core i7 7500U 2.7GHz,8,1.84,3247.416
HP,Intel Core i3 7100U 2.4GHz,4,2.1,1780.831
Acer,Intel Celeron Quad Core N3450 1.1GHz,4,1.6,876.456
MSI,Intel Core i7 6820HK 2.7GHz,16,4.14,5858.136
Dell,Intel Core i3 6006U 2GHz,4,2.18,1238.76
MSI,Intel Core i7 7700HQ 2.8GHz,16,1.8,6124.536
Toshiba,Intel Core i7 6500U 2.5GHz,8,2.2,3726.936
Lenovo,Intel Core i5 7200U 2.5GHz,6,2.4,1502.496
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,2,3460.536
Acer,Intel Pentium Quad Core N3710 1.6GHz,4,1.6,929.736
Lenovo,Intel Xeon E3-1535M v6 3.1GHz,32,2.5,13050.94
Dell,Intel Core i7 6700HQ 2.6GHz,16,2.59,2341.683
Dell,Intel Core i3 6006U 2.0GHz,4,2.18,1182.55
Dell,Intel Core i3 6006U 2.0GHz,4,2.25,956.376
Dell,Intel Core i5 7300U 2.6GHz,4,1.93,2315.016
Asus,Intel Core i7 7700HQ 2.8GHz,8,3,3111.552
Dell,Intel Core i5 7200U 2.5GHz,4,2.18,1515.816
HP,Intel Core i7 7500U 2.7GHz,8,1.84,3700.296
MSI,Intel Core i7 7700HQ 2.8GHz,16,2.94,6041.579
Acer,Intel Celeron Quad Core N3160 1.6GHz,4,1.25,1009.656
HP,Intel Core i5 7300U 2.6GHz,8,2.31,2994.336
Lenovo,Intel Core i5 6200U 2.3GHz,8,1.65,3902.76
Dell,Intel Core i5 8250U 1.6GHz,4,2.2,2067.264
Fujitsu,Intel Core i5 7200U 2.5GHz,8,2.2,2128.536
HP,Intel Core i5 6200U 2.3GHz,4,1.88,2482.848
Lenovo,Intel Core i7 7500U 2.7GHz,8,2.2,2394.936
Mediacom,Intel Atom x5-Z8350 1.44GHz,2,1.4,636.696
Lenovo,Intel Core i5 7200U 2.5GHz,4,2.2,1246.752
Asus,Intel Core i5 7200U 2.5GHz,6,1.5,1702.323
Dell,Intel Core i7 7700HQ 2.8GHz,8,2,4848.48
Asus,Intel Core i7 7500U 2.7GHz,16,1.1,5061.6
Dell,Intel Core i7 7700HQ 2.8GHz,16,2.62,3940.056
Lenovo,Intel Core i5 8250U 1.6GHz,4,1.8,2208.456
Lenovo,Intel Core i3 6006U 2GHz,4,2.2,1542.456
Asus,Intel Celeron Dual Core N3350 1.1GHz,8,2,1062.936
Asus,Intel Core i5 7300HQ 2.5GHz,8,1.99,2415.236
Dell,Intel Core i5 8250U 1.6GHz,8,1.23,4979.016
Lenovo,Intel Celeron Dual Core N3060 1.6GHz,2,1.42,663.336
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.37,4681.767
Dell,Intel Core i7 7700HQ 2.8GHz,16,2.06,6390.936
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,2.5,2954.376
HP,AMD A9-Series 9420 3GHz,8,2.6,1387.678
Lenovo,Intel Core i7 7500U 2.7GHz,16,1.14,6526.8
Asus,Intel Core i7 7700HQ 2.8GHz,8,2.5,3114.216
Acer,Intel Core i3 6006U 2GHz,4,2.4,1198.8
Lenovo,Intel Celeron Dual Core N3060 1.6GHz,4,1.43,729.936
Acer,Intel Core i5 7200U 2.5GHz,8,1.8,2448.216
Razer,Intel Core i7 7700HQ 2.8GHz,16,1.95,6923.736
Toshiba,Intel Core i5 6200U 2.3GHz,8,1.2,3231.432
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.36,4219.776
Asus,Intel Core i7 6820HK 2.7GHz,32,3.8,7456.536
Acer,Intel Core i5 7300HQ 2.5GHz,8,2.4,1888.776
Dell,Intel Core i5 8250U 1.6GHz,8,1.2,3862.534
MSI,Intel Core i7 7700HQ 2.8GHz,8,2.2,3174.955
HP,Intel Core i3 6006U 2GHz,4,1.86,972.0936
Toshiba,Intel Core i5 7200U 2.5GHz,8,2.0,2834.496
Dell,Intel Core i7 8550U 1.8GHz,8,2.2,2448.216
Dell,Intel Core i7 8550U 1.8GHz,16,2.2,3023.64
Lenovo,Intel Core i7 6700HQ 2.6GHz,8,3.31,3186.144
Dell,Intel Core i7 7700HQ 2.8GHz,32,4.42,8384.594
Dell,Intel Core i5 6300U 2.4GHz,8,1.56,3274.056
Lenovo,Intel Celeron Dual Core N3350 1.1GHz,4,2.2,1116.216
Lenovo,Intel Core i5 6200U 2.3GHz,4,2.2,1425.24
HP,Intel Core i3 6006U 2GHz,6,2.04,1435.896
MSI,Intel Core i7 7700HQ 2.8GHz,8,2.7,3960.755
Toshiba,Intel Core i3 6100U 2.1GHz,4,2.1,1326.672
Dell,Intel Core i5 7200U 2.5GHz,8,2.06,2544.12
HP,Intel Core i7 7500U 2.7GHz,8,2.1,1984.68
Toshiba,Intel Core i5 7200U 2.5GHz,8,2.0,3351.312
Acer,Intel Core i3 6006U 2GHz,4,2.1,1097.568
Microsoft,Intel Core i7 7600U 2.8GHz,8,1.25,4975.952
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.90,2179.019
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.3,2754.576
Lenovo,AMD E-Series E2-9000 2.2GHz,4,2.2,929.736
HP,Intel Core i3 7100U 2.4GHz,4,1.63,1862.136
MSI,Intel Core i7 7700HQ 2.8GHz,16,2.4,3447.216
Asus,Intel Core i5 7200U 2.5GHz,8,1.1,3023.64
HP,Intel Celeron Dual Core N3350 1.1GHz,8,1.4,1318.68
LG,Intel Core i7 8550U 1.8GHz,8,1.09,6124.536
Acer,Intel Core i5 7300HQ 2.5GHz,16,2.5,3460.536
MSI,Intel Core i5 7300HQ 2.5GHz,8,2.2,2658.406
Asus,Intel Celeron Dual Core N3350 1.1GHz,4,1.86,1116.216
Dell,Intel Core i5 7300HQ 2.5GHz,16,3.21,5463.864
HP,Intel Core i3 6006U 2GHz,4,2.5,1862.136
Lenovo,Intel Core i7 8550U 1.8GHz,8,1.19,3993.336
Dell,Intel Core i7 7820HK 2.9GHz,16,3.49,7495.83
HP,Intel Core i5 7200U 2.5GHz,4,1.86,1631.993
Dell,Intel Core i3 6006U 2GHz,4,2.2,1453.665
HP,AMD A10-Series 9600P 2.4GHz,6,2.65,1515.816
Lenovo,Intel Celeron Dual Core 3855U 1.6GHz,4,2.1,847.152
Acer,Intel Celeron Dual Core 3855U 1.6GHz,4,1.45,999.0
Lenovo,Intel Core i5 7200U 2.5GHz,4,1.7,1862.136
HP,Intel Core i7 7700HQ 2.8GHz,8,3.14,5082.885
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.42,6899.76
Toshiba,Intel Core i5 7200U 2.5GHz,8,1.5,2592.072
Acer,Intel Celeron Dual Core N3050 1.6GHz,4,1.4,716.616
Lenovo,Intel Core i7 7500U 2.7GHz,16,1.38,4659.336
Asus,Intel Core M M3-6Y30 0.9GHz,4,1.2,1782.216
Toshiba,Intel Core i7 6500U 2.5GHz,16,1.36,5000.328
HP,Intel Core i7 7500U 2.7GHz,4,2.1,1835.496
Dell,Intel Core i5 7300HQ 2.5GHz,8,2.56,2181.816
Lenovo,AMD A9-Series 9420 2.9GHz,4,2.2,1062.936
Lenovo,AMD A12-Series 9720P 3.6GHz,8,2.2,1142.856
Lenovo,Intel Core i5 7200U 2.5GHz,4,2.1,1655.543
Lenovo,Intel Core i3 6006U 2GHz,4,1.90,1198.8
Dell,Intel Core i5 7200U 2.5GHz,8,2.18,2117.88
Acer,Intel Core i5 8250U 1.6GHz,8,1.6,2661.336
Lenovo,Intel Core i7 6500U 2.5GHz,16,2.18,4941.72
Lenovo,Intel Core i5 6300HQ 2.3GHz,8,1.8,3172.824
HP,AMD A10-Series 9620P 2.5GHz,6,2.71,1744.947
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,2.5,3327.336
Dell,Intel Core i5 7440HQ 2.8GHz,8,1.64,2901.096
Dell,Intel Core i5 7200U 2.5GHz,8,1.98,1934.064
Asus,Intel Celeron Dual Core N3350 1.1GHz,4,1.5,793.872
Dell,Intel Core i5 7300U 2.6GHz,16,1.93,3800.622
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.87,2283.234
Dell,Intel Core i5 7300U 2.6GHz,8,1.9,3140.856
Lenovo,AMD A6-Series 7310 2GHz,4,2.19,793.872
Mediacom,Intel Atom Z8350 1.92GHz,4,1.4,705.96
HP,Intel Core i7 7500U 2.7GHz,8,2.63,3196.8
Lenovo,Intel Core i7 6500U 2.5GHz,8,1.17,4493.209
HP,Intel Core i5 7200U 2.5GHz,8,1.58,2228.702
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.32,3993.336
Dell,Intel Core i7 7700HQ 2.8GHz,32,4.36,9748.642
MSI,Intel Core i7 7700HQ 2.8GHz,8,2.7,3592.351
Lenovo,Intel Core i5 7200U 2.5GHz,4,1.9,1305.094
Dell,Intel Core i5 8250U 1.6GHz,8,2.2,1915.416
Dell,Intel Core i3 7100U 2.4GHz,4,1.71,1728.936
Dell,Intel Core i5 7200U 2.5GHz,8,2.32,1570.481
HP,AMD A9-Series 9420 3GHz,4,2.1,1302.696
Acer,Intel Core i7 6700HQ 2.6GHz,16,4.2,5154.84
Dell,Intel Core i5 7200U 2.5GHz,12,2.25,1728.936
HP,AMD A9-Series A9-9420 3GHz,6,2.1,1731.6
Acer,Intel Core i5 7200U 2.5GHz,4,2.4,1489.176
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.44,2557.44
Lenovo,Intel Core i7 7500U 2.7GHz,4,1.85,2075.256
HP,Intel Core i7 7700HQ 2.8GHz,16,2.6,6444.216
Dell,Intel Core i5 8250U 1.6GHz,8,1.55,1755.576
MSI,Intel Core i7 7700HQ 2.8GHz,16,1.8,5579.695
Acer,Intel Core i3 6006U 2GHz,4,2.4,1094.371
Dell,Intel Core i7 7500U 2.7GHz,8,2.0,3215.448
Dell,Intel Core i3 6006U 2GHz,8,2,1771.56
Toshiba,Intel Core i5 7200U 2.5GHz,8,1.25,4089.24
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.7,2661.336
Lenovo,Intel Core i7 7600U 2.8GHz,16,2.5,8788.536
Acer,Intel Celeron Dual Core N3060 1.6GHz,2,1.68,879.12
Samsung,Intel Core i7 7500U 2.7GHz,16,0.81,4392.936
HP,Intel Core i3 6006U 2GHz,8,1.86,1435.896
Dell,Intel Core i5 7200U 2.5GHz,8,1.6,3001.555
HP,Intel Xeon E3-1535M v5 2.9GHz,16,3,11692.3
Lenovo,Intel Celeron Dual Core N3060 1.6GHz,4,1.4,1265.4
HP,Intel Core i5 6300U 2.4GHz,8,1.84,5061.6
Asus,Intel Core i5 6300HQ 2.3GHz,4,2.45,1542.456
Lenovo,Intel Core i5 6200U 2.3GHz,4,1.7,2919.744
Asus,Intel Core i7 7500U 2.7GHz,4,2.37,2264.134
Lenovo,Intel Core i5 6260U 1.8GHz,8,1.3,3194.136
HP,Intel Core i5 7300HQ 2.5GHz,8,2.2,2927.736
HP,Intel Core i7 6700HQ 2.6GHz,8,2.59,4158.504
Dell,Intel Core i7 7700HQ 2.8GHz,16,4.42,7642.989
Acer,Intel Core i5 7200U 2.5GHz,4,2.1,1595.736
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,2.5,2791.872
Dell,Intel Core i7 7600U 2.8GHz,16,1.18,4952.376
Google,Intel Core i5 7Y57 1.2GHz,8,1.1,4153.176
Asus,Intel Core i5 7200U 2.5GHz,8,1.2,3007.656
Dell,Intel Core i3 6006U 2GHz,4,1.65,2261.736
Acer,Intel Core i5 6200U 2.3GHz,4,1.6,1744.92
Asus,Intel Pentium Quad Core N4200 1.1GHz,4,2.8,1252.986
Dell,Intel Core i7 6700HQ 2.6GHz,16,2.72,2927.736
Samsung,Intel Core i7 7500U 2.7GHz,8,1.31,4259.736
Acer,Intel Pentium Quad Core N4200 1.1GHz,4,2.1,793.872
Dell,Intel Core i7 7500U 2.7GHz,16,2.3,3146.903
Samsung,Intel Core i7 7500U 2.7GHz,16,1.71,4792.536
Toshiba,Intel Core i5 6200U 2.3GHz,4,1.75,2717.28
Dell,Intel Core i7 7700HQ 2.8GHz,8,2.62,2927.736
HP,Intel Core i5 6200U 2.3GHz,4,1.26,3314.016
Asus,Intel Core i7 7500U 2.7GHz,12,2.3,2235.096
Lenovo,Intel Core i7 6820HQ 2.7GHz,16,2.5,6313.68
Acer,Intel Core i3 7100U 2.4GHz,4,1.8,1694.304
Razer,Intel Core i7 7700HQ 2.8GHz,16,1.95,7722.936
Asus,Intel Pentium Dual Core N4200 1.1GHz,8,2,1550.182
Dell,Intel Core i7 7700HQ 2.8GHz,32,4.42,9560.563
Asus,Intel Core i7 6700HQ 2.6GHz,16,4.3,6260.4
Toshiba,Intel Core i7 6600U 2.6GHz,16,1.47,4699.296
Lenovo,Intel Celeron Quad Core N3710 1.6GHz,8,2.2,876.456
Lenovo,Intel Core i7 7500U 2.7GHz,16,1.7,6124.536
MSI,Intel Core i7 7700HQ 2.8GHz,16,1.6,5037.624
MSI,Intel Core i5 7300HQ 2.5GHz,8,2.2,2901.096
Lenovo,Intel Core i7 7700HQ 2.8GHz,4,2.4,2661.336
Acer,Intel Core i7 7700HQ 2.8GHz,16,4.2,6124.536
Dell,Intel Core i5 7300HQ 2.5GHz,8,2.62,2624.04
Asus,Intel Core i7 7700HQ 2.8GHz,8,2.24,3567.096
Vero,Intel Celeron Dual Core N3350 1.1GHz,4,1.22,540.5256
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.37,5248.08
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.08,2554.776
Apple,Intel Core M 1.2GHz,8,0.92,3103.56
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.42,6207.12
Asus,Intel Celeron Dual Core N3350 1.1GHz,4,1.63,796.536
Dell,Intel Core i5 7200U 2.5GHz,8,1.95,2157.84
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.38,3593.736
Dell,Intel Core i3 6006U 2GHz,8,2,1968.696
HP,Intel Core i7 7700HQ 2.8GHz,8,3.14,5500.894
Asus,Intel Core i5 7200U 2.5GHz,8,2.37,2927.736
